date,time,open,high,low,close,prev,volume,tr_amount,sales_qu,purchase_qu,li_share,market_cap,fr_cu_holding,fr_cu_ratio,ad_pr_ratio,in_net_buy,up_do,up_do_ratio,deposit,st_turnover,tr_es_ratio,sign
20060110,0,50900,54200,48600,48850,-500,2100213,108427000000,0,0,15386000,751606000000,2537573,16.489999771118164,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060111,0,50200,54200,47800,53300,4450,1420564,71508000000,0,0,15386000,820073000000,2555279,16.610000610351562,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060112,0,53000,55400,51300,51300,-2000,1431489,76256000000,0,0,15433000,791712000000,2575959,16.690000534057617,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060113,0,49800,53100,49750,50000,-1300,1099390,55921000000,0,0,15433000,771650000000,2548571,16.510000228881836,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060116,0,51000,54300,49750,54000,4000,1464520,76889000000,0,0,15433000,833382000000,2491644,16.139999389648438,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060117,0,53500,55300,51400,51400,-2600,1191295,63699000000,0,0,15433000,793256000000,2487671,16.1200008392334,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060118,0,50400,50900,44300,46200,-5200,1985417,92927000000,0,0,15433000,713004000000,2427230,15.729999542236328,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060119,0,45000,47000,43700,46200,0,1574563,71578000000,0,0,15433000,713004000000,2372063,15.369999885559082,88.91000366210938,0,0,0.0,0,0.0,0.0,51
20060120,0,45500,46450,39300,39300,-6900,2083701,88655000000,0,0,15433000,606516000000,2344785,15.1899995803833,88.91000366210938,0,0,0.0,0,0.0,0.0,52
20060123,0,37700,38350,33500,34600,-4700,1914321,69572000000,0,0,15433000,533981000000,2238901,14.510000228881836,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060124,0,35500,37100,32650,36000,1400,3252086,115579000000,0,0,15433000,555588000000,2297577,14.890000343322754,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060125,0,36600,40900,36600,38650,2650,2624267,101189000000,0,0,15433000,596485000000,2593872,16.809999465942383,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060126,0,39000,39350,37050,39100,450,1171143,44789000000,0,0,15433000,603430000000,2569759,16.649999618530273,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060127,0,40400,41250,39550,40200,1100,1097550,44332000000,0,0,15465000,621693000000,2566477,16.59000015258789,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060131,0,40300,41500,40200,40550,350,708238,28980000000,0,0,15465000,627105000000,2564476,16.579999923706055,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060201,0,39200,39400,36200,37950,-2600,1569061,59281000000,0,0,15465000,586896000000,2399211,15.510000228881836,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060202,0,41100,43600,40300,43600,5650,3434671,145046000000,0,0,15465000,674274000000,2593290,16.770000457763672,88.91000366210938,0,0,0.0,0,0.0,0.0,49
20060203,0,42900,43150,40200,40250,-3350,1812894,75276000000,0,0,15465000,622466000000,2491945,16.110000610351562,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060206,0,38900,40200,37800,39950,-300,1348532,52467000000,0,0,15465000,617826000000,2399076,15.510000228881836,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060207,0,39100,41400,39100,39350,-600,1427898,57843000000,0,0,15465000,608547000000,2399482,15.510000228881836,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060208,0,39150,42600,39150,42450,3100,1944327,79912000000,0,0,15465000,656489000000,2599694,16.809999465942383,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060209,0,44600,46600,42000,42150,-300,2417031,106111000000,0,0,15465000,651849000000,2550104,16.489999771118164,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060210,0,41900,42950,40750,42800,650,849336,35366000000,0,0,15465000,661902000000,2524208,16.31999969482422,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060213,0,42750,42800,40350,40350,-2450,712257,29500000000,0,0,15503000,625546000000,2517600,16.239999771118164,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060214,0,39050,40200,38400,39800,-550,719446,28299000000,0,0,15503000,617019000000,2570774,16.579999923706055,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060215,0,40650,41300,38100,38400,-1400,674502,26760000000,0,0,15503000,595315000000,2575166,16.610000610351562,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060216,0,38500,40250,38150,39750,1350,639432,25081000000,0,0,15503000,616244000000,2585231,16.68000030517578,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060217,0,39900,41600,38700,38800,-950,971012,39080000000,0,0,15503000,601516000000,2583832,16.670000076293945,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060220,0,38800,40200,37850,39250,450,710529,27834000000,0,0,15503000,608492000000,2596617,16.75,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060221,0,39100,40200,38900,39000,-250,448315,17709000000,0,0,15503000,604617000000,2596587,16.75,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060222,0,38850,39150,37950,38500,-500,600307,23079000000,0,0,15505000,596942000000,2488203,16.049999237060547,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060223,0,38850,39150,38400,38550,50,476286,18414000000,0,0,15505000,597717000000,2486501,16.040000915527344,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060224,0,38700,39550,38650,39150,600,604729,23668000000,0,0,15505000,607020000000,2494318,16.09000015258789,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060227,0,39400,41300,39150,41000,1850,773573,31375000000,0,0,15505000,635705000000,2509653,16.190000534057617,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060228,0,41900,41950,40350,41000,0,557995,22896000000,0,0,15505000,635705000000,2514608,16.219999313354492,88.91000366210938,0,0,0.0,0,0.0,0.0,51
20060302,0,41200,41500,39950,40100,-900,410228,16681000000,0,0,15505000,621750000000,2512332,16.200000762939453,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060303,0,40100,40750,38250,38400,-1700,503861,19724000000,0,0,15505000,595392000000,2522924,16.270000457763672,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060306,0,38550,39050,38450,39000,600,251957,9776000000,0,0,15505000,604695000000,2530280,16.31999969482422,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060307,0,38500,38600,37250,37250,-1750,332558,12588000000,0,0,15505000,577561000000,2522256,16.270000457763672,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060308,0,36700,38000,36700,37650,400,274969,10265000000,0,0,15505000,583763000000,2517028,16.229999542236328,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060309,0,37650,38100,37200,37250,-400,356218,13374000000,0,0,15505000,577561000000,2503592,16.149999618530273,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060310,0,36500,37100,35900,36550,-700,414457,15165000000,0,0,15505000,566707000000,2445023,15.770000457763672,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060313,0,37150,37350,36250,36300,-250,418847,15386000000,0,0,15505000,562831000000,2398083,15.470000267028809,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060314,0,36050,36400,35100,35200,-1100,437102,15504000000,0,0,15506000,545811000000,2337535,15.069999694824219,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060315,0,35900,35950,34800,34800,-400,391601,13856000000,0,0,15506000,539608000000,2332289,15.039999961853027,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060316,0,34700,35300,32750,32850,-1950,658014,22227000000,0,0,15506000,509372000000,2220762,14.319999694824219,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060317,0,33050,33750,32950,33450,600,687446,22967000000,0,0,15506000,518675000000,2053614,13.239999771118164,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060320,0,33450,34900,33300,34350,900,543247,18615000000,0,0,15506000,532631000000,2053037,13.239999771118164,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060321,0,34900,35700,34350,34400,50,579098,20316000000,0,0,15506000,533406000000,2057792,13.270000457763672,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060322,0,34250,34400,33250,33250,-1150,277619,9352000000,0,0,15506000,515574000000,2057523,13.270000457763672,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060323,0,33750,34500,33500,34500,1250,481743,16403000000,0,0,15506000,534957000000,2060479,13.289999961853027,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060324,0,35250,36300,34650,36300,1800,726963,25757000000,0,0,15506000,562867000000,2053275,13.239999771118164,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060327,0,36300,36600,35700,36300,0,343251,12432000000,0,0,15506000,562867000000,2068675,13.34000015258789,88.91000366210938,0,0,0.0,0,0.0,0.0,51
20060328,0,36000,36950,35050,36500,200,564843,20401000000,0,0,15506000,565969000000,2087098,13.460000038146973,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060329,0,36400,38300,35800,38200,1700,545053,20434000000,0,0,15506000,592329000000,2094262,13.510000228881836,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060330,0,38700,41700,38150,40700,2500,903115,35969000000,0,0,15506000,631094000000,2099909,13.539999961853027,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060331,0,40950,42200,40350,41450,750,723513,30068000000,0,0,15506000,642723000000,2149382,13.859999656677246,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060403,0,42400,42450,41300,41600,150,418840,17504000000,0,0,15506000,645049000000,2118633,13.65999984741211,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060404,0,41600,42200,40450,41950,350,432468,17837000000,0,0,15506000,650476000000,2118825,13.65999984741211,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060405,0,42750,44600,42200,42600,650,1059981,46091000000,0,0,15506000,660555000000,2108241,13.600000381469727,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060406,0,43250,43650,42150,42250,-350,390321,16738000000,0,0,15506000,655128000000,2124709,13.699999809265137,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060407,0,42950,44000,42600,43100,850,596958,25840000000,0,0,15506000,668308000000,2144379,13.829999923706055,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060410,0,42600,43800,42350,43500,400,377741,16361000000,0,0,15506000,674511000000,2167935,13.979999542236328,88.91000366210938,0,0,0.0,0,0.0,0.0,50
20060411,0,43600,43700,40700,41300,-2200,698545,29191000000,0,0,15506000,640397000000,2165947,13.970000267028809,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060412,0,40900,41600,40450,41150,-150,325538,13391000000,0,0,15506000,638071000000,2176598,14.039999961853027,88.91000366210938,0,0,0.0,0,0.0,0.0,53
20060413,0,41200,45800,41200,45200,4050,1152504,50461000000,0,0,15506000,700871000000,2349059,15.149999618530273,88.91000366210938,0,0,0.0,0,0.0,0.0,50
