data_code,thema_name,stock_code,stock_name,stock_current_print
279,조선기자재,A086670,비엠티,8640
279,조선기자재,A089230,THE E&M,618
279,조선기자재,A092460,한라IMS,5570
279,조선기자재,A096350,대창솔루션,365
279,조선기자재,A099410,동방선기,3000
279,조선기자재,A102210,해덕파워웨이,1100
279,조선기자재,A103230,에스앤더블류,1855
277,그래핀,A005290,동진쎄미켐,29650
277,그래핀,A005930,삼성전자,58200
277,그래핀,A006490,인스코비,2545
277,그래핀,A012450,한화에어로스페이스,25400
277,그래핀,A059100,아이컴포넌트,4600
278,해저터널,A007460,에이프로젠 KIC,1830
278,해저터널,A025550,한국선재,3020
278,해저터널,A026150,특수건설,6170
278,해저터널,A028100,동아지질,14600
278,해저터널,A060370,KT서브마린,5030
274,프린터부품,A004000,롯데정밀화학,49650
274,프린터부품,A028040,미래SCI,279
274,프린터부품,A032790,엠젠플러스,4075
274,프린터부품,A033240,자화전자,13600
274,프린터부품,A043260,성호전자,905
274,프린터부품,A049550,잉크테크,3155
274,프린터부품,A065690,파커스,2680
274,프린터부품,A066110,한프,480
274,프린터부품,A066310,큐에스아이,16600
275,SI(시스템통합),A010280,쌍용정보통신,1245
275,SI(시스템통합),A022100,포스코 ICT,6940
275,SI(시스템통합),A026180,,0
275,SI(시스템통합),A038620,위즈코프,1030
273,금융자동화기기,A012600,센트럴인사이트,7000
273,금융자동화기기,A025770,한국정보통신,8620
273,금융자동화기기,A036800,나이스정보통신,24650
273,금융자동화기기,A052600,한네트,3980
273,금융자동화기기,A063570,한국전자금융,5790
273,금융자동화기기,A094940,푸른기술,14850
272,산업폐기물,A000910,유니온,7730
272,산업폐기물,A006260,LS,52500
272,산업폐기물,A022220,정산애강,1825
272,산업폐기물,A029960,코엔텍,8620
272,산업폐기물,A060150,인선이엔티,9130
272,산업폐기물,A067900,와이엔텍,12350
271,전자결제,A034730,SK,198500
271,전자결제,A035600,KG이니시스,20400
271,전자결제,A046440,KG모빌리언스,9530
271,전자결제,A060250,NHN한국사이버결제,68500
271,전자결제,A064260,다날,4950
254,탄소배출권,A008250,이건산업,7920
254,탄소배출권,A025750,한솔홈데코,1425
254,탄소배출권,A069260,휴켐스,20600
254,탄소배출권,A086520,에코프로,44850
254,탄소배출권,A093370,후성,9400
254,탄소배출권,A119650,KC코트렐,6120
264,태양전지 - 박막형,A036930,주성엔지니어링,6960
264,태양전지 - 박막형,A104700,한국철강,4695
264,태양전지 - 박막형,A121600,나노신소재,34400
264,태양전지 - 박막형,A123100,,0
260,클라우드컴퓨팅,A012510,더존비즈온,104500
260,클라우드컴퓨팅,A023590,다우기술,21450
260,클라우드컴퓨팅,A034730,SK,198500
260,클라우드컴퓨팅,A036030,KTH,5140
260,클라우드컴퓨팅,A053800,안랩,65900
260,클라우드컴퓨팅,A064800,젬백스링크,1275
260,클라우드컴퓨팅,A067160,아프리카TV,58700
260,클라우드컴퓨팅,A093320,케이아이엔엑스,87800
260,클라우드컴퓨팅,A100030,모바일리더,16100
267,태양전지 - 모듈/인버터,A010120,LS ELECTRIC,56500
267,태양전지 - 모듈/인버터,A095910,에스에너지,7640
263,태양광 - 잉곳/웨이퍼,A052420,오성첨단소재,2450
263,태양광 - 잉곳/웨이퍼,A057500,SKC 솔믹스,5540
263,태양광 - 잉곳/웨이퍼,A067310,하나마이크론,8700
263,태양광 - 잉곳/웨이퍼,A103130,,0
269,태양광 -  장비/부품,A011790,SKC,83000
269,태양광 -  장비/부품,A036930,주성엔지니어링,6960
269,태양광 -  장비/부품,A039030,이오테크닉스,99100
269,태양광 -  장비/부품,A049550,잉크테크,3155
269,태양광 -  장비/부품,A050760,에스폴리텍,7260
269,태양광 -  장비/부품,A054620,APS홀딩스,8590
269,태양광 -  장비/부품,A056190,에스에프에이,38200
269,태양광 -  장비/부품,A064760,티씨케이,95100
269,태양광 -  장비/부품,A065450,빅텍,7160
269,태양광 -  장비/부품,A068790,DMS,9330
269,태양광 -  장비/부품,A078600,대주전자재료,44600
269,태양광 -  장비/부품,A083930,아바코,8650
269,태양광 -  장비/부품,A095610,테스,25700
269,태양광 -  장비/부품,A108230,톱텍,16200
262,태양광 - 폴리실리콘,A002380,KCC,146000
262,태양광 - 폴리실리콘,A009830,한화솔루션,38450
262,태양광 - 폴리실리콘,A010060,OCI,57000
